Iteration,Latency_ns
0,15551
1,1754
2,1362
3,1302
4,1326
5,1289
6,1269
7,1303
8,1287
9,1254
10,1258
11,1293
12,1297
13,1279
14,1289
15,1311
16,1269
17,1261
18,1271
19,1297
20,1260
21,1278
22,1270
23,1277
24,1300
25,1268
26,1274
27,1301
28,1290
29,1277
30,1284
31,1273
32,1291
33,1278
34,1273
35,1275
36,1294
37,1266
38,1275
39,1298
40,1286
41,1278
42,1271
43,1279
44,1296
45,1270
46,1288
47,1278
48,1280
49,1272
50,1280
51,1279
52,1269
53,1302
54,1284
55,1288
56,1290
57,1264
58,1274
59,1255
60,1281
61,1261
62,1265
63,1266
64,1257
65,1304
66,1283
67,1268
68,1261
69,1264
70,1294
71,1257
72,1273
73,1264
74,1260
75,1275
76,1286
77,1298
78,1269
79,1287
80,1263
81,1269
82,1266
83,1264
84,1275
85,1325
86,1267
87,1333
88,1273
89,1267
90,1290
91,1315
92,1259
93,1277
94,1259
95,1267
96,1297
97,1262
98,1327
99,1277
100,1276
101,1332
102,1277
103,1324
104,1290
105,1288
106,1269
107,1264
108,1273
109,1295
110,1259
111,1271
112,1288
113,1281
114,1267
115,1271
116,1268
117,1260
118,1280
119,1303
120,1265
121,1274
122,1273
123,1276
124,126460
125,1497
126,1319
127,1291
128,1291
129,1343
130,1275
131,1272
132,1326
133,1268
134,1287
135,1277
136,1279
137,1283
138,1337
139,1279
140,1282
141,1313
142,1270
143,1297
144,1304
145,1289
146,1274
147,1275
148,1325
149,1267
150,1269
151,1291
152,1285
153,1271
154,1273
155,1284
156,1274
157,1304
158,1264
159,1273
160,1413
161,1271
162,1320
163,1300
164,1291
165,1306
166,1260
167,1274
168,1302
169,1277
170,1293
171,1267
172,1277
173,1280
174,1282
175,1280
176,1289
177,1269
178,1321
179,1267
180,1266
181,1263
182,1273
183,1277
184,1258
185,1339
186,1251
187,1282
188,1297
189,1271
190,1276
191,1271
192,1268
193,1301
194,1276
195,1298
196,1273
197,1284
198,1267
199,1270
200,1290
201,1307
202,1310
203,1278
204,1272
205,1273
206,1269
207,1267
208,1285
209,1281
210,1307
211,1271
212,1269
213,1314
214,1294
215,1292
216,1265
217,1266
218,1272
219,1292
220,1266
221,1269
222,1327
223,1290
224,1269
225,1277
226,1290
227,1258
228,1269
229,1269
230,1279
231,1289
232,1280
233,1277
234,1257
235,1290
236,1266
237,1272
238,1288
239,1259
240,1272
241,1308
242,1277
243,1294
244,1254
245,1298
246,1270
247,1309
248,1260
249,1285
250,1301
251,1262
252,1286
253,1274
254,1260
255,1261
256,1267
257,1300
258,1268
259,1303
260,1277
261,1269
262,1279
263,1283
264,1298
265,1305
266,1253
267,1331
268,1303
269,1322
270,1335
271,1328
272,1340
273,1322
274,1371
275,1331
276,1323
277,1315
278,1372
279,1406
280,1332
281,1362
282,1316
283,1318
284,1322
285,1342
286,1320
287,1329
288,1329
289,1332
290,1327
291,1356
292,1318
293,1316
