Iteration,Jitter_ns
0,95043
1,468996
2,118299
3,1295404
4,478258
5,1020080
6,1257545
7,730312
8,1065044
9,1551742
10,726733
11,373128
12,319006
13,1147584
14,788243
15,549842
16,181121
17,782856
18,867172
19,524424
20,871667
21,133530
22,902801
23,210852
24,703936
25,373212
26,744592
27,847462
28,518609
29,119270
30,1531970
31,255124
32,336115
33,866185
34,1468493
35,1010536
36,212314
37,810162
38,233600
39,748590
40,1468886
41,937218
42,177618
43,1054112
44,694980
45,961847
46,995098
47,477024
48,950959
49,1179677
50,518490
51,604355
52,329446
53,131890
54,886616
55,876788
56,296179
57,560147
58,204281
59,548366
60,750482
61,872164
62,313277
63,672144
64,860682
65,465832
66,118006
67,893534
68,131778
69,811211
70,972067
71,1556841
72,380528
73,519589
74,975261
75,346578
76,562564
77,1557397
78,205923
79,279736
80,946493
81,977096
82,972725
83,970805
84,462827
85,1464112
86,1047061
87,1038377
88,1310568
89,173013
90,714498
91,183353
92,715073
93,948584
94,119137
95,632477
96,953575
97,780158
98,955422
99,201033
100,750852
101,546281
102,994294
103,908874
104,1005336
105,311056
106,566829
107,1511736
108,882314
109,572647
110,337099
111,431610
112,750038
113,405869
114,911507
115,120401
116,814470
117,771655
118,1108678
119,419522
120,81226
121,104048
122,1673372
123,85254
124,849862
125,155157
126,394652
127,975520
128,66291
129,882445
130,154095
131,739520
132,1745173
133,777914
134,905228
135,190988
136,1032474
137,103765
138,1515409
139,107995
140,213158
141,1515658
142,203650
143,785368
144,218852
145,261490
146,926057
147,90159
148,885470
149,223658
150,695860
151,128606
152,376444
153,963655
154,1011905
155,213173
156,923942
157,717245
158,728078
159,760004
160,230238
161,864450
162,739456
163,83468
164,1563814
165,163984
166,615467
167,95703
168,847377
169,978092
170,109987
171,1396099
172,110011
173,830717
174,104769
175,1013724
176,963460
177,531638
178,1073523
179,811251
180,1333557
181,810743
182,1687416
183,1532991
184,894341
185,210341
186,699847
187,78935
188,358455
189,1154255
190,930009
191,973984
192,119496
193,430481
194,1909952
195,921751
196,773264
197,1999335
198,219115
199,569426
200,841251
201,1003968
202,231235
203,493273
204,978884
205,513608
206,164602
207,817880
208,822926
209,1038686
210,70485
211,1278668
212,68969
213,202515
214,1717831
215,524744
216,1430834
217,493931
218,927964
219,226288
220,1231107
221,527225
222,916737
223,521483
224,970631
225,968357
226,825310
227,831115
228,90876
229,520047
230,91890
231,957007
232,466414
233,426224
234,1096844
235,383391
236,1042520
237,478453
238,318403
239,908776
240,936347
241,1723882
242,276857
243,1092564
244,560070
245,908905
246,940579
247,701485
248,854680
249,1338805
250,523447
251,726300
252,981043
253,821763
254,655668
255,1452630
256,279189
257,962854
258,1064281
259,929875
260,1103275
261,758725
262,1248404
263,1263736
264,1070022
265,859193
266,1186046
267,661272
268,1533730
269,881069
270,961002
271,867746
272,1016804
273,359378
274,1419614
275,778533
276,1028753
277,707641
278,953116
279,1223632
280,1374295
281,321424
282,800317
283,738666
284,1889109
285,1332866
286,767629
287,749283
288,488107
289,1477398
290,1017465
291,794529
292,1394965
293,685838
294,1572732
295,259397
296,615780
297,889252
298,1017424
299,1003792
300,614119
301,670302
302,1142700
303,990484
304,873704
305,1555108
306,207948
307,902193
308,1864163
309,217026
310,701391
311,280822
312,872204
313,228597
314,828406
315,896363
316,170716
317,2057918
