Iteration,Jitter_ns
0,111818
1,2309759
2,5414584
3,20320709
4,1164358
5,1296214
6,26716835
7,20410009
8,-638819
9,200009
10,450506
11,14026054
12,3093166
13,9215511
14,33484414
15,716205
16,290884
17,-1503
18,19934008
19,1429002
20,3385133
21,3090273
22,3760247
23,41808450
24,-797684
25,2534127
26,-138792
27,-306119
28,4110946
29,21183376
30,-477500
31,13773887
32,284257
33,61805551
34,82901470
35,-123752
36,2214175
37,2422342
38,32045840
39,36302
40,21423097
41,224945
42,2784653
43,-809895
44,1072055
45,385321
46,-424356
47,415040
48,-233944
49,3276002
50,3265090
51,276653
52,97776079
53,5836488
54,5692756
55,11765040
56,1171812
57,22636142
58,29407388
59,31034186
60,12392908
61,3858320
62,-552450
63,534142
64,-535053
65,264756
66,18467022
67,-649045
68,120093958
69,2051550
70,997784
71,-274707
72,80757680
73,-324950
74,329946
75,1448671
76,188690
77,485883
78,3374164
79,27025806
80,-178629
81,67223966
82,104264
83,36091
84,-190050
85,5877448
86,614868
87,2325514
88,3498941
89,2393551
90,3391760
91,1654555
92,-4300
93,79474377
94,7508403
95,2488915
96,6378083
97,521081
98,8183108
99,1404664
100,1333751
101,31069226
102,10125982
103,1944607
104,16890788
105,-215478
106,1878165
107,2470026
108,13762651
109,6067253
110,-309653
111,76403074
112,84116794
113,835027
114,2446471
115,6232682
116,447688
117,1385332
118,23208778
119,7686655
120,2593199
121,-116958
122,41738175
123,37473968
124,1539556
125,34397097
126,56324
127,2137709
128,3758923
129,1563974
130,55710112
131,234947
132,-814277
133,1870256
134,377479
135,550944
136,643265
137,19009475
138,20591417
139,1509900
140,-605461
141,34922010
142,378912
143,722326
144,4874032
145,3305830
146,15724908
147,15335483
148,180071
149,596067
150,509232
151,3589642
152,12425932
153,-541418
154,15687864
155,-377736
156,3518858
157,-815043
158,1816271
159,1005241
160,139738
161,60675859
162,4337509
163,841872
164,18949644
165,-222143
166,2273824
167,17388437
168,805246
169,54882491
170,12570891
171,2372505
172,-478344
173,137926435
174,1119522
175,775911
176,924472
177,1231893
178,2441044
179,-459519
180,265635
181,5104309
182,303370
183,2463502
184,-498835
185,491931
186,381520
187,83268255
188,54543294
189,14782180
190,-369136
191,58238852
192,13358861
193,13177827
194,367575
195,16649806
196,-810133
197,20370980
198,2792372
199,1532928
200,592001
201,2491319
202,14467930
203,-188250
204,2733506
205,149601307
206,-286519
207,173060
208,15604
209,2135202
210,4498806
211,554304
212,-412124
213,2224228
214,1305000
215,23147087
216,-428100
217,180569635
218,78962842
219,7325571
220,40398920
221,-555355
222,20157528
223,30833659
224,1019489
225,2169453
226,15482313
227,5463301
228,13962441
229,4737623
230,-799005
231,90765822
232,2865380
233,-684005
234,4101695
235,186760598
236,1685937
237,-350290
238,-172008
239,720761
240,1915159
241,17859216
242,2554903
243,28396550
244,17170055
245,17249516
246,1826861
247,-276079
248,1879969
249,2570274
250,3201606
251,3034365
252,3006294
253,1911062
254,1841
255,-72857
256,84093
257,45041017
258,86106591
259,1894099
260,23068147
261,675135
262,-802817
263,-1134
264,2186171
265,4196563
266,20768775
267,136370452
268,7819395
269,35761
270,2988110
271,932690
272,330123
273,60633
274,-309146
275,-326124
276,3047759
277,3047432
278,2788287
279,3499311
280,2793902
281,16389
282,133749
283,-166117
284,50312
285,10993703
286,2487052
287,27056833
288,-234825
289,59427785
290,293525
291,854805
292,2616875
293,141461418
294,768465
295,554167
296,673239
297,229376
298,18749843
299,20614354
300,2600697
301,17352769
302,30488456
303,-211902
304,3726513
305,-825321
306,2017519
307,1019201
308,133993112
309,1571418
310,19974
311,21837066
312,64093
313,2287221
314,26555590
315,-21986
316,48693933
317,249819
318,-287691
319,95909717
320,3372586
321,854329
322,1101550
323,2158678
324,36252149
325,1718056
326,3677624
327,8843179
328,27860694
329,27149
330,-794096
331,14635818
332,6424929
333,2187324
334,678812
335,2159211
336,34984578
337,23205089
338,1195455
339,3097018
340,20273882
341,10882578
342,-711920
343,30817770
344,-179660
345,2169156
346,16522899
347,2721944
348,1871588
349,7124504
350,1026288
351,1118938
352,12154939
353,2815277
354,13582872
355,245676
356,1107065
357,7710270
358,57562182
359,8376370
360,7859593
361,-662503
362,579252
363,-528513
364,11595
365,2811183
366,7001720
367,91481743
368,4585632
369,2603055
370,1390220
371,4500554
372,531504
373,593213
374,261621
375,-384679
376,-137212
377,-72598
378,3112217
379,24727175
380,16760951
381,601470
382,51204394
383,910673
384,146423
385,-440123
386,55395741
387,2843184
388,2866800
389,2767395
390,2853370
391,2875614
392,2573597
393,1439000
394,593044
395,1476079
396,-790463
397,12654290
398,921171
399,992093
400,3748409
401,30349008
402,-702581
403,20355240
404,1504187
405,18190444
406,-119830
407,9678934
408,247917
409,9762225
410,1686920
411,-128164
412,24000134
413,3438216
414,2374350
415,1777586
416,136994
417,3040390
418,1771070
419,353373
420,3006634
421,3147063
422,3200424
423,3244563
424,3073489
425,3368334
426,1893565
427,3369029
428,3392441
429,2643809
430,3417679
431,-751915
432,2332910
433,2383883
434,328212
435,198141
436,567535
437,2925307
438,63312182
439,52460848
440,-642009
441,1748874
442,48503
443,-735332
444,19939
445,608182
446,10503017
447,2853610
448,74994393
449,456250
450,1102595
451,-202378
452,28517074
453,1373606
454,23089201
455,18439423
456,10994405
457,-432392
458,31063487
459,10327428
460,164229
461,8008229
462,1635814
463,-620607
464,59238398
465,2340029
466,-297434
467,28732146
468,30961035
469,-946501
470,983720
471,198097374
472,4055587
473,7607501
474,1644106
475,3024125
476,14136730
477,152236
478,-357383
479,29217240
480,2410062
481,29423738
482,18887760
483,260486
484,9500832
485,3334903
486,194201
487,-357058
488,38415
489,2073499
490,-94468
491,2900908
492,2930098
493,3165723
494,3370983
495,2575037
496,5756821
497,23754713
498,-34506
499,30655901
500,316352625
501,-142116
502,-179676
503,907434
504,11635592
505,-762516
506,8581035
507,-661719
508,3394613
509,-443413
510,2540791
511,12267543
512,-796426
513,20212854
514,-224521
515,27675106
516,2472228
517,990338
518,214679
519,-42236
520,3361872
521,3075558
522,2751397
523,3513753
524,1902810
525,4566745
526,1881683
527,1612784
528,48048918
529,3657560
530,922289
531,540124
532,2988034
533,3618472
534,2144528
535,19354018
536,23232926
537,3578324
538,1791362
539,337156299
540,3803859
541,-600506
542,-59635
543,1145112
544,97864
545,7328759
546,7202373
547,430296
548,-361635
549,956925
550,273527
551,222506
552,1217201
553,6934589
554,-610025
555,5719009
556,-215974
557,2550680
558,2795469
559,31375489
560,14732486
561,439093
562,554735
563,744241
564,-498389
565,27198520
566,742701
567,387445
568,3143224
569,-205021
570,376829
571,-219186
572,428912
573,6580172
574,-125102
575,-291032
576,1857
577,1001663
578,42251379
579,2785988
580,2926853
581,1887389
582,2900268
583,891683
584,2518073
585,1883885
586,631936
587,-504455
588,1806435
589,1473187
590,-387828
591,214188
592,18203167
593,-643382
594,30662988
595,-719025
596,20530734
597,30918477
598,-429817
599,41303811
600,52744347
601,776514
602,3002642
603,14743148
604,-548745
605,20234832
606,9575181
607,6997248
608,1490619
609,1619568
610,7432237
611,5332990
612,-418577
613,7530142
614,-804236
615,7883281
616,-682163
617,48014
618,3932350
619,10990778
620,2966561
621,1782839
622,182368
623,2894975
624,3379128
625,2629857
626,3082226
627,1877447
628,56696
629,3167272
630,741956
631,141015
632,903914
633,1854854
634,63820894
635,3098955
636,302730
637,75553
638,-22383
639,-58388
640,1970211
641,2048602
642,124449
643,3080714
644,3072962
645,5296010
646,417022
647,929681
648,1042424
649,797542
650,-20822
651,-615665
652,460908
653,2171808
654,1778450
655,-582777
656,3845792
657,-884745
658,31461632
659,850907
660,618212
661,592895
662,2513064
663,6392639
664,348317
665,1846717
666,3602193
667,1914532
668,2808543
669,3093753
670,2978824
671,2975124
672,3011933
673,2825225
674,47734690
675,71496706
676,3855749
677,20034842
678,720740
679,-689797
680,2103970
681,2749593
682,35104210
683,1434092
684,1257103
685,10069481
686,84502514
687,2607363
688,-249550
689,-558354
690,30539364
691,20599974
692,20650037
693,-791948
694,30693060
695,-671024
696,20526026
697,4278911
698,7005913
699,6994081
700,9720919
701,815715
702,18537375
703,1104861
704,622952
705,1044218
706,14973134
707,9865653
708,20341927
709,-824972
710,794595
711,39587228
712,2694323
713,1592165
714,1361103
715,22710641
716,2721687
717,-491452
718,163416540
719,2528378
720,10007491
721,20453722
722,13424089
723,2991052
724,12490830
725,-344679
726,51849524
727,-788359
728,-11256
729,2808332
730,19007550
731,2991589
732,45340328
733,985640
734,105953475
735,18658768
736,6143944
737,1476039
738,11325335
739,-693772
740,21698669
741,-2043
742,-683429
743,18797044
744,-808163
745,17870
746,57263300
747,3666402
748,174121
749,1904633
750,26069097
751,260992
752,5835335
753,3714334
754,1908083
755,3002111
756,22194597
757,419572
758,18432093
759,17085131
760,1440862
761,-104436
762,66015163
763,524516
764,-833804
765,21107714
766,8831409
767,6482080
768,20647377
769,1021568
770,29048026
771,842144
772,160356773
773,201293
774,491926
775,2402832
776,1489131
777,1022685
778,697043
779,-646621
780,1375807
781,-336690
782,221974
783,44198435
784,2763064
785,3012198
786,2440305
787,48088135
788,1931574
789,11353849
790,20579332
791,2195574
792,-801935
793,102395260
794,51295220
795,5039807
796,-694033
797,64792
798,3213021
799,21327368
800,-670150
801,20031212
802,16128056
803,-127662
804,809181
805,634986
806,9941260
807,-150859
808,9099363
809,11460944
810,18665947
811,-501203
812,14842296
813,2997497
814,321329
815,1674813
816,23014719
817,4353152
818,20693182
819,-711341
820,30883347
821,19725317
822,-168570
823,9320410
824,1311050
825,1935738
826,2913026
827,3496063
828,2424234
829,470981
830,83358
831,-561580
832,231168
833,2793094
834,495734
835,559004
836,2122118
837,8543
838,27504212
839,537776
840,1440317
841,-695354
842,6671550
843,110924282
844,11180347
845,268135
846,5122150
847,816985
848,102217051
849,2789246
850,271681
851,-236940
852,85908252
853,670826
854,-647426
855,105707673
856,2195647
857,8524208
858,2235631
859,-659936
860,30473588
861,-311167
862,1346461
863,14226075
864,878280
865,-605413
866,88652040
867,699231
868,3330464
869,40582
870,1967606
871,18876980
872,20834127
873,718222
874,28793260
875,7943987
876,194083051
877,252178
878,175084
879,2272910
880,2232006
881,1803953
882,-583748
883,7708420
884,-729526
885,7032833
886,-58401
887,1005936
888,370139
889,2613856
890,48464939
891,3660647
892,1974068
893,1928636
894,18011252
895,157659
896,-98537
897,442054
898,822146
899,954399
900,422252
901,-614760
902,2732953
903,23305566
904,11703733
905,-166892
906,-305495
907,75163841
908,1916605
909,3477024
910,38466418
911,1404096
912,7528958
913,13081901
914,-437567
915,301505
916,1997973
917,1706985
918,919761
919,393976
920,146510
921,140812946
922,8596526
923,957147
924,12521380
925,20472673
926,683924
927,57443055
928,361120
929,3249523
930,2973677
931,145166
932,-317972
933,-37795
934,876226
935,-71554
936,48347326
937,434221
938,196882434
939,1125711
940,16799532
941,-713030
942,30484984
943,1267191
944,-803688
945,2252156
946,4116306
947,-303972
948,1143447
949,898377
950,-101111
951,464783
952,3204274
953,30736336
954,6463503
955,13115464
956,31041602
957,71807
958,-76102
959,3938229
960,24306199
961,1311180
962,-536755
963,1459271
964,-449397
965,30049971
966,816030
967,8240155
968,65506
969,267031
970,24157711
971,-250432
972,939978
973,225803770
974,5707317
975,2663443
976,16981680
977,-207192
978,207488477
979,-290118
980,15179190
981,4119570
982,3168353
983,493848
984,9185277
985,-610949
986,23718452
987,58791805
988,-365100
989,3537639
990,-680220
991,2080517
992,1375518
993,1068564
994,2614920
995,3086021
996,2906772
997,7941
998,116404208
999,7253489
1000,-812678
1001,20333534
1002,9377284
1003,-639418
1004,438545
1005,-256492
1006,18124528
1007,10478513
1008,9135914
1009,857564
1010,3006202
1011,14751674
1012,-560860
1013,22814989
1014,6732420
1015,-558640
1016,20121386
1017,2631826
1018,-760722
1019,45174740
1020,11857530
1021,8068461
1022,1980264
1023,3159474
1024,-224285
1025,2043764
1026,54876607
1027,344809
1028,1325938
1029,-465688
1030,337638
1031,-235556
1032,130788
1033,-74073
1034,30601903
1035,115692
1036,378968
1037,881630
1038,3017921
1039,2114855
1040,35484
1041,2593659
