Iteration,Jitter_ns
0,46625
1,807140
2,1053639
3,216052
4,109770
5,85135
6,97880
7,815712
8,3658431
9,156566
10,585007
11,963183
12,67606
13,103327
14,689290
15,110096
16,863465
17,1530601
18,93301
19,817286
20,90524
21,761387
22,109427
23,1328515
24,160613
25,3886599
26,53537
27,736971
28,549491
29,125403
30,728619
31,32094
32,37222
33,28469
34,56003
35,722196
36,1613317
37,88008
38,1830126
39,73463
40,1235454
41,1097764
42,979473
43,1204056
44,1921807
45,316020
46,1904224
47,89857
48,850697
49,53301
50,835994
51,980969
52,604848
53,933892
54,77755
55,1064971
56,669784
57,237108
58,1199877
59,89311
60,845995
61,119265
62,861580
63,193922
64,762150
65,537099
66,83278
67,849293
68,966249
69,248192
70,731063
71,1484977
72,914608
73,84870
74,821159
75,1591955
76,784507
77,1052203
78,78139
79,278847
80,633864
81,204590
82,674822
83,341682
84,138570
85,972825
86,1057403
87,1000320
88,391575
89,1902765
90,101903
91,998707
92,682187
93,243816
94,852290
95,27841
96,820505
97,691751
98,1004498
99,282444
100,598396
101,824542
102,571806
103,60519
104,1611479
105,368369
106,910055
107,811592
108,522848
109,91859
110,765210
111,1326597
112,1012856
113,544752
114,500947
115,231100
116,1030964
117,1440193
118,3788188
119,2236322
120,1446247
121,28899
122,668297
123,1777906
124,472004
125,1042991
126,720738
127,2977731
128,9651396
129,33218474
130,32202211
131,27968176
132,27464779
133,4404500
134,4324149
135,849510
136,267579
137,839153
138,391183
139,580114
140,9909991
141,6299627
142,578693
143,844968
144,496714
145,97184297
146,96970107
147,381621
148,564520
149,1805516
150,285634
151,924981
152,65248850
153,64078729
154,61258755
155,7220916
156,419916
157,49985388
158,48716646
159,46412139
160,43662876
161,62435
162,69547
163,25410100
164,23832089
165,22861553
166,139424
167,20124885
168,376645
169,15011729
170,12924977
171,11519882
172,10278666
173,9662446
174,9779593
175,8379586
176,4057240
177,4028471
178,440730
179,8332636
180,997559
181,79506
182,817128
183,911503
184,1099032
185,167746
186,81686
187,4106793
188,3933795
189,88235
190,293811
191,135436
192,972348
193,989262
194,2120291
195,3347163
196,2254630
197,91211
198,577268
199,928429
200,246006
201,1815669
202,1393517
203,1003942
204,155522
205,835042
206,1102577
207,1559757
208,9449654
209,699447
210,10418666
211,10737826
212,2670136
213,997699
214,935600
215,7557905
216,208770120
217,615260
218,2086494
219,2175021
220,1692741
221,246972
222,766595
223,7283324
224,12293700
225,737699
226,920096
227,2569625
228,1131257
229,791860
230,246356
231,4236179
232,100548487
233,402230
234,756872
235,289149
236,235522
237,245715
238,469336
239,997456
240,1645251
241,4814672
242,3526865
243,496942
244,630427
245,5007411
246,155625
247,1460692
248,293441
249,6124141
250,32442587
251,364904
252,939032
253,15667753
254,14402596
255,622763
256,1024971
257,512578
258,391187
259,429256
260,6614118
261,2892473
262,794231
263,2387105
264,8688810
265,15220872
266,14324974
267,1075717
268,960623
269,930388
270,864907
271,618562
272,297314
273,597118
274,432711
275,1033065
276,974662
277,1370596
278,1263829
279,932829
280,989581
281,3840256
282,9526468
283,975946
284,787604
285,180497133
286,3381711
287,1347828
288,603051
289,976277
290,1272321
291,712089
292,718483
293,8018184
294,6834268
295,1041766
296,1368406
297,145173
298,6663561
299,142434771
300,126154
301,842733
302,115186
303,1878340
304,424442
305,24403243
306,1158927
307,19280896
308,19529281
309,883401
310,963023
311,1105836
312,740559
313,1315054
314,964055
315,823575
316,849281
317,950445
318,465861
319,123757658
320,694036
321,122742
322,102614219
323,326662
324,282223
325,1402093
326,92646
327,20300
328,166181
329,2053469
330,1026741
331,145428
332,241883
333,83773
334,10424985
335,6023531
336,278380
337,2654003
338,1066756
339,238211
340,759112
341,587126
342,1519501
343,2830721
344,1806688
345,185560
346,1532765
347,9456500
348,997206
349,15714993
350,1456160
351,947344
352,885862
353,964721
354,1548205
355,964097
356,246018
357,13131464
358,555538
359,916128
360,502734
361,86715
362,91269
363,1802807
364,989425
365,904377
366,638877
367,63712401
368,2835185
369,538903
370,38926527
371,114000
372,6954937
373,6354424
374,973932
375,1152884
376,561569
377,1479619
378,922699
379,4905092
380,1569732
381,791845
382,78528
383,219982129
384,506484
385,946449
386,764846
387,1745906
388,777666
389,1260815
390,472292
391,678629
392,75856362
393,1160065
394,369213
395,179374
396,649923
397,468368
398,6877549
399,1439509
400,975180
401,7564114
402,929232
403,7627891
404,28250268
405,1023856
406,244405
407,35612742
408,1567087
409,1404360
410,6800736
411,475527
412,2624672
413,2028380
414,152589
415,50005614
416,220343
417,963082
418,760757
419,2699907
420,1649473
421,842630
422,415060
423,26104326
424,64662
425,7121556
426,1110739
427,838693
428,4633654
429,1392355
430,128716
431,491576
432,1848787
433,108985
434,245295
435,1495958
436,1620200
437,876959
438,1970271
439,1035888
440,1463503
441,10717851
442,123675412
443,494118
444,683025
445,602194
446,4657702
447,4537034
448,710787
449,366507
450,10582715
451,3620913
452,348837
453,28989
454,85476
455,1295279
456,9996053
457,32064303
458,762969
459,533979
460,6431258
461,1094207
462,1031020
463,336565
464,622315
465,3405084
466,1798144
467,890354
468,2806412
469,1413688
470,39370
471,4359113
472,9466328
473,16297630
474,74426
475,1416980
476,519167
477,327550
478,948668
479,24210
480,135213
481,2311864
482,1881684
483,86552
484,794975
485,1017029
486,34705137
487,24895794
488,685139
489,1411922
490,630300
491,594712
492,11150461
493,8723469
494,652517
495,5219688
496,1057174
497,1951077
498,615363
499,448426
500,230013
501,14635308
502,1150186
503,1395877
504,6698447
505,948889
506,542293
507,277699
508,22678023
509,21340468
510,860467
511,16577004
512,897073
513,11263208
514,11782777
515,850117
516,896972
517,2359760
518,2670649
519,649220
520,600463
521,504862
522,2745111
523,1016781
524,430420
525,696774
526,1886933
527,913915
528,1002208
529,3003220
530,574044
531,51306003
532,5778221
533,427755
534,925737
535,13311717
536,68844
537,10436462
538,8688724
539,4921042
540,2248924
541,231441
542,17605440
543,1473415
544,6738081
545,6025658
546,1248867
547,719189
548,1172497
549,574089
550,267187
551,417520
552,671154
553,267685
554,437035
555,1024863
556,952863
557,1908046
558,171140
559,3208074
560,3907049
561,2696946
562,217333
563,12962300
564,1763037
565,1113144
566,84338
567,695193
568,1581707
569,1016974
570,72840
571,978893
572,9528540
573,7251219
574,6809574
575,5972003
576,1898994
577,2323061
578,443049
579,2110799
580,45223
581,91776
582,738060
583,202263
584,4140285
585,230967
586,1777792
587,3082140
588,1727321
589,962158
590,360462
591,407259
592,1071825
593,2768971
594,9456468
595,97989550
596,511325
597,66670349
598,229497
599,2295348
600,662339
601,441795
602,81071
603,68293
604,114109
605,79466
606,25405645
607,951898
608,22215579
609,20819488
610,780293
611,1335476
612,911165
613,900296
614,370805
615,792491
616,3139941
617,1366485
618,979191
619,709990
620,1711345
621,1002549
622,1434794
623,4051611
624,309053
625,617287
626,1158377
627,128209
628,20709
629,431410
630,444329
631,314002
632,628610
633,834110
634,685340
635,9230146
636,57777296
637,2290785
638,977671
639,128821
640,363025
641,1397101
642,506689
643,75255832
644,697541
645,685939
646,85891319
647,796593
648,1433029
649,925382
650,983926
651,885790
652,70895942
653,1044918
654,680672
655,1033593
656,633729
657,2309213
658,973992
659,829520
660,1914342
661,84448
662,172164
663,1820486
664,36382
665,33270
666,684763
667,1040335
668,2296145
669,449986
670,1025654
671,606291
672,1784855
673,1013796
674,945123
675,169536
676,1662245
677,723506
678,7912952
679,711782
680,18483171
681,14278987
682,1008237
683,257581
684,613707
685,3178542
686,2845082
687,2000082
688,983980
689,654248
690,5668210
691,205490
692,1033904
693,6481979
694,46144440
695,51627
696,138457
697,1020872
698,4597066
699,46738
700,6795523
701,5928134
702,1792262
703,1226652
704,5191246
705,10674765
706,7548177
707,3940278
708,243625
709,234622
710,263698
711,379472
712,858517
713,1578022
714,382284
715,397586
716,1269300
717,415305
718,1811796
719,10637781
720,9886008
721,1267405
722,922053
723,356301
724,33077
725,563463
726,6923821
727,813702
728,3330606
729,1195269
730,19940136
731,16113248
732,896877
733,8892044
734,551386
735,1036912
736,989286
737,755393
738,928153
739,1344996
740,859761
741,1404639
742,1028880
743,81680033
744,1047661
745,65792673
746,855322
747,1320704
748,1232362
749,973441
750,53613197
751,1189912
752,43694134
753,805735
754,689536
755,398991
756,467186
757,669653
758,519104
759,335131
760,34042
761,523970
762,203864
763,19541870
764,18185516
765,18145183
766,17493722
767,329909
768,13216324
769,229847
770,1173969
771,4791074
772,610950
773,957130
774,1062983
775,1613739
